2025-11-04 06:55:21 status unpacked linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 status half-configured linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 status installed linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 configure linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:21 status unpacked linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 status half-configured linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 status installed linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 configure linux-image-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:21 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:21 status half-configured linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:21 status installed linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:21 configure linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:21 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:21 status half-configured linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:22 status installed linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:22 configure linux-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:22 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:22 status half-configured linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:22 status installed linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:22 trigproc linux-image-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:22 status half-configured linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:53 status installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-09 01:42:19 startup archives unpack
2025-11-09 01:42:23 install python3-pycryptodome:amd64 <none> 3.20.0+dfsg-3build1
2025-11-09 01:42:23 status half-installed python3-pycryptodome:amd64 3.20.0+dfsg-3build1
2025-11-09 01:42:23 status unpacked python3-pycryptodome:amd64 3.20.0+dfsg-3build1
2025-11-09 01:42:24 startup packages configure
2025-11-09 01:42:24 configure python3-pycryptodome:amd64 3.20.0+dfsg-3build1 <none>
2025-11-09 01:42:24 status unpacked python3-pycryptodome:amd64 3.20.0+dfsg-3build1
2025-11-09 01:42:24 status half-configured python3-pycryptodome:amd64 3.20.0+dfsg-3build1
2025-11-09 01:42:25 status installed python3-pycryptodome:amd64 3.20.0+dfsg-3build1
2025-11-10 06:05:05 startup archives unpack
2025-11-10 06:05:08 upgrade poppler-utils:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-10 06:05:08 status half-configured poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:08 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:08 status half-installed poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:08 status triggers-pending man-db:amd64 2.13.0-1
2025-11-10 06:05:09 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:09 upgrade libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-10 06:05:09 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-11-10 06:05:09 status half-configured libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:10 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:10 status half-installed libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:10 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:10 upgrade libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-10 06:05:10 status half-configured libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:10 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:10 status half-installed libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:11 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:11 upgrade libpoppler147:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-10 06:05:11 status half-configured libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:11 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:11 status half-installed libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-10 06:05:12 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:12 startup packages configure
2025-11-10 06:05:12 configure libpoppler147:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-10 06:05:12 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:12 status half-configured libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:12 status installed libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:12 configure libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-10 06:05:12 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:12 status half-configured libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 status installed libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 configure libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-10 06:05:13 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 status half-configured libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 status installed libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 configure poppler-utils:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-10 06:05:13 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 status half-configured poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 status installed poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-10 06:05:13 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-10 06:05:13 status half-configured man-db:amd64 2.13.0-1
2025-11-10 06:05:17 status installed man-db:amd64 2.13.0-1
2025-11-10 06:05:17 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-11-10 06:05:17 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-11-10 06:05:18 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-11-11 06:41:14 startup archives unpack
2025-11-11 06:41:15 upgrade intel-microcode:amd64 3.20250512.0ubuntu0.25.04.1 3.20250812.0ubuntu0.25.04.1
2025-11-11 06:41:15 status half-configured intel-microcode:amd64 3.20250512.0ubuntu0.25.04.1
2025-11-11 06:41:15 status unpacked intel-microcode:amd64 3.20250512.0ubuntu0.25.04.1
2025-11-11 06:41:15 status half-installed intel-microcode:amd64 3.20250512.0ubuntu0.25.04.1
2025-11-11 06:41:16 status unpacked intel-microcode:amd64 3.20250812.0ubuntu0.25.04.1
2025-11-11 06:41:17 startup packages configure
2025-11-11 06:41:17 configure intel-microcode:amd64 3.20250812.0ubuntu0.25.04.1 <none>
2025-11-11 06:41:17 status unpacked intel-microcode:amd64 3.20250812.0ubuntu0.25.04.1
2025-11-11 06:41:17 status half-configured intel-microcode:amd64 3.20250812.0ubuntu0.25.04.1
2025-11-11 06:41:17 status installed intel-microcode:amd64 3.20250812.0ubuntu0.25.04.1
2025-11-11 06:41:17 status triggers-pending initramfs-tools:all 0.147ubuntu1
2025-11-11 06:41:17 trigproc initramfs-tools:all 0.147ubuntu1 <none>
2025-11-11 06:41:17 status half-configured initramfs-tools:all 0.147ubuntu1
2025-11-11 06:41:49 status installed initramfs-tools:all 0.147ubuntu1
2025-11-16 22:47:12 startup archives unpack
2025-11-16 22:47:12 install github-desktop:amd64 <none> 3.4.9-linux1
2025-11-16 22:47:12 status half-installed github-desktop:amd64 3.4.9-linux1
2025-11-16 22:47:22 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-16 22:47:22 status triggers-pending desktop-file-utils:amd64 0.28-1
2025-11-16 22:47:22 status triggers-pending hicolor-icon-theme:all 0.18-2
2025-11-16 22:47:23 status unpacked github-desktop:amd64 3.4.9-linux1
2025-11-16 22:47:23 startup packages configure
2025-11-16 22:47:23 configure github-desktop:amd64 3.4.9-linux1 <none>
2025-11-16 22:47:23 status unpacked github-desktop:amd64 3.4.9-linux1
2025-11-16 22:47:23 status half-configured github-desktop:amd64 3.4.9-linux1
2025-11-16 22:47:23 status installed github-desktop:amd64 3.4.9-linux1
2025-11-16 22:47:23 trigproc hicolor-icon-theme:all 0.18-2 <none>
2025-11-16 22:47:23 status half-configured hicolor-icon-theme:all 0.18-2
2025-11-16 22:47:24 status installed hicolor-icon-theme:all 0.18-2
2025-11-16 22:47:24 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2025-11-16 22:47:24 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-16 22:47:24 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-16 22:47:24 trigproc desktop-file-utils:amd64 0.28-1 <none>
2025-11-16 22:47:24 status half-configured desktop-file-utils:amd64 0.28-1
2025-11-16 22:47:24 status installed desktop-file-utils:amd64 0.28-1
