2025-11-24 00:10:57 status half-installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:58 status unpacked linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:58 install linux-modules-extra-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:10:58 status half-installed linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:03 status unpacked linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:04 upgrade linux-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:04 status half-configured linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status half-installed linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:05 upgrade linux-image-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:05 status half-configured linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:05 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:06 status half-installed linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:06 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:06 install linux-headers-6.14.0-35:all <none> 6.14.0-35.35
2025-11-24 00:11:06 status half-installed linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:14 status unpacked linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:15 install linux-headers-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:11:15 status half-installed linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:19 status unpacked linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:19 upgrade linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:19 status half-configured linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status half-installed linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:20 upgrade linux-libc-dev:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:20 status half-configured linux-libc-dev:amd64 6.14.0-34.34
2025-11-24 00:11:20 status unpacked linux-libc-dev:amd64 6.14.0-34.34
2025-11-24 00:11:20 status half-installed linux-libc-dev:amd64 6.14.0-34.34
2025-11-24 00:11:21 status unpacked linux-libc-dev:amd64 6.14.0-35.35
2025-11-24 00:11:22 upgrade linux-perf:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:22 status half-configured linux-perf:amd64 6.14.0-34.34
2025-11-24 00:11:22 status unpacked linux-perf:amd64 6.14.0-34.34
2025-11-24 00:11:22 status half-installed linux-perf:amd64 6.14.0-34.34
2025-11-24 00:11:23 status unpacked linux-perf:amd64 6.14.0-35.35
2025-11-24 00:11:23 upgrade linux-tools-common:all 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:23 status half-configured linux-tools-common:all 6.14.0-34.34
2025-11-24 00:11:23 status unpacked linux-tools-common:all 6.14.0-34.34
2025-11-24 00:11:23 status half-installed linux-tools-common:all 6.14.0-34.34
2025-11-24 00:11:24 status unpacked linux-tools-common:all 6.14.0-35.35
2025-11-24 00:11:24 install linux-tools-6.14.0-35:amd64 <none> 6.14.0-35.35
2025-11-24 00:11:24 status half-installed linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-24 00:11:24 status unpacked linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-24 00:11:25 install linux-tools-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:11:25 status half-installed linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:26 status unpacked linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:26 startup packages configure
2025-11-24 00:11:26 configure bpftool:amd64 7.6.0+6.14.0-35.35 <none>
2025-11-24 00:11:26 status unpacked bpftool:amd64 7.6.0+6.14.0-35.35
2025-11-24 00:11:26 status half-configured bpftool:amd64 7.6.0+6.14.0-35.35
2025-11-24 00:11:26 status installed bpftool:amd64 7.6.0+6.14.0-35.35
2025-11-24 00:11:26 configure linux-libc-dev:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:26 status unpacked linux-libc-dev:amd64 6.14.0-35.35
2025-11-24 00:11:26 status half-configured linux-libc-dev:amd64 6.14.0-35.35
2025-11-24 00:11:26 status installed linux-libc-dev:amd64 6.14.0-35.35
2025-11-24 00:11:26 configure linux-headers-6.14.0-35:all 6.14.0-35.35 <none>
2025-11-24 00:11:26 status unpacked linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:27 status half-configured linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:27 status installed linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:27 configure linux-perf:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:27 status unpacked linux-perf:amd64 6.14.0-35.35
2025-11-24 00:11:27 status half-configured linux-perf:amd64 6.14.0-35.35
2025-11-24 00:11:27 status installed linux-perf:amd64 6.14.0-35.35
2025-11-24 00:11:27 configure linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:27 status unpacked linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:27 status half-configured linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:30 status installed linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:30 configure linux-image-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:30 status unpacked linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:30 status half-configured linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:33 status installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:33 status triggers-pending linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:33 configure linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:33 status unpacked linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:33 status half-configured linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:37 status installed linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:37 configure linux-tools-common:all 6.14.0-35.35 <none>
2025-11-24 00:11:37 status unpacked linux-tools-common:all 6.14.0-35.35
2025-11-24 00:11:37 status half-configured linux-tools-common:all 6.14.0-35.35
2025-11-24 00:11:37 status installed linux-tools-common:all 6.14.0-35.35
2025-11-24 00:11:37 configure linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:37 status unpacked linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 configure linux-image-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:38 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 configure linux-tools-6.14.0-35:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:38 status unpacked linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-24 00:11:38 configure linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:38 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 configure linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:38 status unpacked linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:38 configure linux-generic-hwe-24.04:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:38 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status half-configured linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 status installed linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:38 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-24 00:11:38 status half-configured man-db:amd64 2.13.0-1
